index	taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
0		fishes	Acipenser baeri											Siberian sturgeon			A						AQ, OR			AS									2001						
1		fishes	Acipenser guldenstaedti											Russian sturgeon			A						AQ, OR			EE									2005						
2		fishes	Acipenser ruthenus											Sterlet			A						AQ, OR			EE									20xx						
3		fishes	Ameiurus nebulosus											Brown bullhead			N						AQ, OR			NA									1871						
4		fishes	Aspius aspius											Asp			N						AN			EE									1984						
5		fishes	Carassius auratus											Goldfish			A						OR			AS									17th c.						
6		fishes	Carassius gibelio											Gibel carp			N						UN			AS or EE									17th c.						
7		fishes	Clarias gariepinus											African catfish			A*						AQ			AFR									1980s						
8		fishes	Ctenopharyngodon idella											Grass carp			A						BC			AS									1967						
9		fishes	Cyprinus carpio											Common carp			N						AQ			EE									13th c.						
10		fishes	Hypophthalmichthys molitrix											Silver carp			A						BC			AS									1975						
11		fishes	Hypophthalmichthys nobilis											Bighead carp			A						BC			AS									1975						
12		fishes	Ictalurus punctatus											Channel catfish			A						AQ			NA									1884						
13		fishes	Lepomis gibbosus											Pumpkinseed			N						OR			NA									1885						
14		fishes	Neogobius melanostomus											Round goby			N						BW, AM			EE									2010						
15		fishes	Oncorhynchus mykiss											Rainbow trout			A						AQ, AN			NA									1884						
16		fishes	Oreochromis niloticus											Nile tilapia			A*						AQ			AFR									1990						
17		fishes	Pimephales promelas											Fathead minnow			N						AN			NA									1984						
18		fishes	Ponticola kessleri											Bighead goby			N						BW, AM			EE									2012						
19		fishes	Proterorhinus semilunairs											Tubenose goby			N						AM			EE									2010						
20		fishes	Pseudorasbora parva											Topmouth gudgeon			N						UN, AN			AS									1992						
21		fishes	Sander lucioperca											Pikeperch			N						AN			EE									1890						
22		fishes	Umbra pygmaea											Eastern mudminnow			N						OR, AQ			NA									1920						
23	148	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae					Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	pending	
24	103	harmonia	Acer negundo	Negundo fraxinifolium					Aceraceae					Box-elder, Ash-leaved maple	Vederesdoorn	Erable negundo	spread		b2	9	restricted		agri- and horticulture		terrestrial	North America	yes	yes	yes					1955					no	published	
25	119	harmonia	Acer rufinerve	A. pensylvanicum ssp rufinerve					Aceraceae					Red veined maple	Grijze streepjesbastesdoorn	Erable à feuilles de vigne	naturalization		b1	10	isolated		agri- and horticulture		terrestrial	Asia	yes		yes					1990					no	published	
