index	correctionRemark	datasetName	scientificName	correctedScientificName	gbifapi_canonicalName	gbifapi_usageKey	dimiRemark
185	correct typo	macroinvertebrates	Gammarus roeseli	Gammarus roeselii	Gammarus roeselii	5864277	Both names are widely used
193	correct typo	macroinvertebrates	Athyaephyra desmaresti	Atyaephyra desmaresti	Atyaephyra desmaresti	4417569	-h
475	correct typo	plants	Loncomelos brevistylus (Wolfner ) Dostál	Loncomelos brevistylum (Wolfner) Dostál	Loncomelos brevistylum	2772890	-s +m
792	correct typo	plants	Berberis x hybrido-gagnepainii J.V. Suringar	Berberis hybridogagnepainii J.V. Suringar	Berberis hybridogagnepainii	7945338	- -
948	correct typo	plants	Neslia paniculata (L.) Desv. subsp. thracia (Velen.) Bornm.	Neslia paniculata (L.) Desv. subsp. thracica (Velen.) Bornm.	Neslia paniculata thracica	3047147	
1204	change rank	plants	Ephedra saxatalis (Stapf) Royle subsp. sikkimensis (Stapf) Florin	Ephedra saxatilis var. sikkimensis (Stapf) Florin	Ephedra saxatilis sikkimensis	2653395	
1508	correct typo	plants	Pterocarya x rhederiana C.K. Schneider	Pterocarya rehderiana C.K. Schneider	Pterocarya rehderiana	4205304	
2053	correct typo	plants	Lachnagrostis billardieri (R. Brown) Trin.	Lachnagrostis billardierei (R. Brown) Trin.	Lachnagrostis billardierei	4136060	
2140	correct typo	plants	Secale xderzhavinii Tzvelev	Secale derzhavinii Tzvelev	Secale derzhavinii	4121360	- x
2402	correct typo	plants	Prunus domestica L. subsp. instititia (L.) Bonnier et Layens	Prunus domestica L. subsp. insititia (L.) Bonnier et Layens	Prunus domestica insititia	7409013	
2542	no change	plants	Verbascum x angulosum Teyber	Verbascum x angulosum Teyber		3736465	(= probably Verbascum nigrum x Verbascum speciocum published in http://www.zobodat.at/pdf/VZBG_51_0786-0788.pdf (No MAtch)
2700	correct typo	rinse	Acrophyllum dentatum	Achrophyllum dentatum	Achrophyllum dentatum	2670002	+ h (accepted typo's?)
2846	correct typo	rinse	Amaryllis belladona	Amaryllis belladonna	Amaryllis belladonna	5325855	+n
2854	correct typo	rinse	Amethystea caeruea	Amethystea caerulea	Amethystea caerulea	4930999	http://www.cabi.org/isc/datasheet/112209 (alien animal) & http://alienplantsbelgium.be/content/amethystea (alien plant) WARNING persoonlijk denk ik dat Cabi de bal mist en is voor mijn part de match geldig
2910	correct typo	rinse	Antirrhinum granaticum	Antirrhinum graniticum	Antirrhinum graniticum	7333212	probably granithicum, but taken over in Belgian alien stuff
2938	correct typo	rinse	Aremonia agrimonioides	Aremonia agrimonoides	Aremonia agrimonoides	2988624	 - i typo accepted synonym
2962	correct typo	rinse	Artemisia ampestris	Artemisia campestris	Artemisia campestris	8330435	+ c typo
2973	correct typo	rinse	Artemisia stellerana	Artemisia stelleriana	Artemisia stelleriana	3121391	+ i (typo)
3117	correct typo	rinse	Blitum nuttalianum	Blitum nuttallianum	Blitum nuttallianum	5568899	+ l (typo)
3148	no change	rinse	Brassica rapa subsp. rapa	Brassica rapa subsp. rapa		3691710	Brassica rapa rapa
3268	correct typo	rinse	Carduus bourgeanus	Carduus bourgeaenus	Carduus bourgeaenus	4214329	both are valid...
3381	change rank	rinse	Chenopodium album x amaranticolor	Chenopodium album subsp. amaranticolor	Chenopodium album amaranticolor	6449176	
3383	change rank	rinse	Chenopodium album x missouriense	Chenopodium album var. missouriense	Chenopodium album missouriense	3755928	
3504	change rank	rinse	Convallaria bifolium kamtschaticum	Convallaria bifolia var. kamtschaticum	Convallaria bifolia kamtschaticum	3685139	
3546	change rank	rinse	Corylus avellana x maxima	Corylus avellana var. maxima Audib.	Corylus avellana maxima	7778692	
3732	correct typo	rinse	Dactyloctenium aegyptinum	Dactyloctenium aegyptium	Dactyloctenium aegyptium	2706188	- n (error widespread)
4060	correct typo	rinse	Filipendula kamtschatica	Filipendula camtschatica	Filipendula camtschatica	7272312	- k  +c
4090	change rank	rinse	Fumaria officinalis x parviflora	Fumaria officinalis var. parviflora	Fumaria officinalis parviflora	5531933	
4107	change rank	rinse	Galanthus nivalis x plicatus	Galanthus nivalis var. plicatus	Galanthus nivalis plicatus	8039494	
4296	correct typo	rinse	Hiptage benghalensi	Hiptage benghalensis	Hiptage benghalensis	3191302	+ s
4338	no change	rinse	Hypericum maculatum maculatum	Hypericum maculatum maculatum		3714979	alien? eurazia originally WARNING
4411	change rank	rinse	Juncus inflexus x pallidus	Juncus inflexus f. pallidus	Juncus inflexus pallidus	7348471	
4640	correct typo	rinse	Lythrum acutangulatum	Lythrum acutangulum	Lythrum acutangulum	3989886	heritage error! angulatum --> angulum
5024	correct typo	rinse	Petasites fragans	Petasites fragrans	Petasites fragrans	3088330	+ r
5422	correct typo	rinse	Salix x hirtei	Salix hirtii	Salix hirtii	7765792	- e + i
5870	change rank	rinse	Tragopogon pratensis pratensis	Tragopogon pratensis subsp. pratensis			WARNING pratensis and eupratensis lead to the same accepted name
5927	change rank	rinse	Tripleurospermum inodorum x maritimum	Tripleurospermum inodorum var. maritimum	Tripleurospermum inodorum maritimum	7756204	
6165	correct typo	rinse	Sparganophilus tamensis	Sparganophilus tamesis	Sparganophilus tamesis	2308258	- n
6189	correct typo	rinse	Acartua omorii	Acartia omorii	Acartia omorii	4333247	- u + i
6194	no change	rinse	Aceria petanovicae	Aceria petanovicae			WARNING
6216	correct typo	rinse	Acrotrichis sanctahelenae	Acrotrichis sanctaehelenae	Acrotrichis sanctaehelenae	4435724	+ e (both exists)
6217	correct typo	rinse	Actheres percarum	Achtheres percarum	Achtheres percarum	2116335	+ h
6219	correct typo	rinse	Aculpos lycopersici	Aculops lycopersici	Aculops lycopersici	2128536	lpos --> lops
6237	correct typo	rinse	Aedes astropalpus	Aedes atropalpus	Aedes atropalpus	1651847	- s
6293	correct typo	rinse	Andricus lignicola	Andricus lignicolus	Andricus lignicolus	4497054	both in gbif -a + us
6385	correct typo	rinse	Athyaephyra desmaresti	Atyaephyra desmaresti	Atyaephyra desmaresti	4417569	- h
6414	correct typo	rinse	Bacillius rossius	Bacillus rossius	Bacillus rossius	1415862	- i 
6472	correct typo	rinse	Brevitalitrus hortulanus	Brevitalitrus hotulanus	Brevitalitrus hotulanus	6461401	- r WARNING
6481	correct typo	rinse	Bucculatrix chrysanthemella	Bucculatrix chrysanthenella	Bucculatrix chrysanthenella	1751244	WARNING
6495	correct typo	rinse	Callidiellum rufipenne	Callidiellum rufipennis	Callidiellum rufipennis	1152186	- e + is
6608	no change	rinse	Clepsis peritana	Clepsis peritana			CHECK was matched with wrong one
6686	correct typo	rinse	Cupiennus getazi	Cupiennius getazi	Cupiennius getazi	2152793	 + i
6694	correct typo	rinse	Cydia milleniana	Cydia millenniana	Cydia millenniana	1737917	+ n
6924	correct typo	rinse	Gammarus roeseli	Gammarus roeselii	Gammarus roeselii	5864277	Both names are widely used
7025	correct typo	rinse	Illinoia goldamaryae	Illinoia goldmaryae	Illinoia goldmaryae	8301279	-a
7070	correct typo	rinse	Laurotrioza alacris	Lauritrioza alacris	Lauritrioza alacris	7763534	- o + i
7116	correct typo	rinse	Listroderes costrirostris	Listroderes costirostris	Listroderes costirostris	1207035	- r
7207	correct typo	rinse	Metatrichoniscoides leydigii	Metatrichoniscoides leydigi	Metatrichoniscoides leydigi	2208437	- i
7604	correct typo	rinse	Pycnocelus surinamensis	Pycnoscelus surinamensis	Pycnoscelus surinamensis	1994767	+ s (widespread spelling infection) http://www.gbif.org/species/100396375 Belgian species list (typo?)
7667	correct typo	rinse	Sclerocona acutellus	Sclerocona acutella	Sclerocona acutella	4531968	- us +a
7908	correct typo	rinse	Varroa jacobsoni	Varroa jacobosoni	Varroa jacobosoni	6885161	jacobsoni is more used jacobosoni is in gbif
8144	correct typo	rinse	Acrophyllum dentatum	Achrophyllum dentatum	Achrophyllum dentatum	2670002	+ h (accepted typo's?)
8155	correct typo	rinse	Oedopodiella australis	Oedipodiella australis	Oedipodiella australis	2673839	- o + i
8157	correct typo	rinse	Orthodontium pelucens	Orthodontium pellucens	Orthodontium pellucens	2677056	+ l
8291	correct typo	rinse	Balearica pavonica	Balearica pavonina	Balearica pavonina	5228232	- c + n
8522	correct typo	rinse	Litoria ewingi	Litoria ewingii	Litoria ewingii	2427705	+ i
8728	correct typo	rinse	Sarcophilus harrisi	Sarcophilus harrisii	Sarcophilus harrisii	2435451	+ i
8811	correct typo	rinse	Zosterops erythropleura	Zosterops erythropleurus	Zosterops erythropleurus	2489345	widespread typo infection
8836	correct typo	rinse	Beroe cucumi	Beroe cucumis	Beroe cucumis	2501114	widespread typo infection
9006	no change	rinse	Limacus maculatus	Limacus maculatus			no match, but exists
9039	no change	rinse	Petricola pholadiformis	Petricola pholadiformis	Petricola pholadiformis		
9090	correct typo	rinse	Philometroides sanguinea	Philometroides sanguineus	Philometroides sanguineus	7031934	-a + us
9173	correct typo	rinse	Arthurdendyus triangulata	Arthurdendyus triangulatus	Arthurdendyus triangulatus	2502792	-a + us
9241	correct typo	rinse	Acrothamnion preisii	Acrothamnion preissii	Acrothamnion preissii	2658484	+ s
9297	correct typo	rinse	Sarcodiotheca gaudichaudi	Sarcodiotheca gaudichaudii	Sarcodiotheca gaudichaudii	2668224	+ i
9311	correct typo	rinse-annex-b	Anthurus muellerianus aseroëformis	Anthurus muellerianus var. aseroëformis	Anthurus muellerianus aseroëformis	3284317	
9319	correct typo	rinse-annex-b	Cinara pini habitans	Cinara pinihabitans	Cinara pinihabitans	2073440	- space
9334	correct typo	rinse-annex-b	Megabalanus coccoporna	Megabalanus coccopoma	Megabalanus coccopoma	5166489	no porn please
9343	correct typo	rinse-annex-b	Tuberocephalus higansakurae hainnevilleae	Tuberocephalus higansakure subsp. hainnevilleae	Tuberocephalus higansakure hainnevilleae	6259949	- a
9347	correct typo	rinse-annex-b	Hippollais rama	Hippolais rama	Hippolais rama	2493218	- l
9495	no change	wrims	Petricola pholadiformis	Petricola pholadiformis	Petricola pholadiformis		
9496	no change	wrims	Petricola pholadiformis	Petricola pholadiformis	Petricola pholadiformis		
