	gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	datasetName	firstObservationYearBE	firstObservationYearFL	invasionStage	habitat	nativeRange	introductionPathway	presenceBE	presenceFL	presenceWA	presenceBR	gbifapi_scientificName	index
0	Abies alba Mill.	2685484	Plantae	plants	2008.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	absent	absent	Abies alba Mill.	1778
1	Abies grandis (Douglas ex D. Don) Lindl.	2685361	Plantae	plants	2009.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Abies grandis (Douglas ex D. Don) Lindl.	1779
2	Abronia fragrans Nutt. ex Hook.	5384889	Plantae	plants	1951.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Abronia fragrans Nutt.	1659
3	Abutilon theophrasti Medik.	3152614	Plantae	plants	1929.0		unknown	to be determined by experts	Europe | Asia	contaminant > seed contaminant	present	present	present	present	Abutilon theophrasti Medik.	1610
4	Acalypha indica L.	3056259	Plantae	plants	2003.0		introduced	to be determined by experts	Africa | Asia	contaminant > contaminant nursery material	present	present	absent	absent	Acalypha indica L.	1221
5	Acanthospermum hispidum DC.	3100375	Plantae	plants	1997.0		introduced	to be determined by experts	S. America	contaminant > seed contaminant	present	present	absent	absent	Acanthospermum hispidum DC.	486
6	Acanthus mollis L.	5415455	Plantae	plants	1998.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	present	present	absent	Acanthus mollis L.	236
7	Acartia tonsa Dana, 1849	2114446	Animalia	wrims	1952.0		established | to be determined by experts	to be determined by experts, primarily marine probably	to be determined by experts	to be determined by experts	present		to be determined by experts	to be determined by experts	Acartia tonsa Dana, 1849	9352 | 9353
8	Acer cappadocicum Gled.	7262908	Plantae	plants	1992.0		introduced	to be determined by experts	Asia	escape > horticulture	present	absent	absent	present	Acer cappadocicum Gled.	2495
9	Acer cissifolium (Sieb. & Zucc.) C. Koch	7877018	Plantae	plants	2014.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Acer cissifolium (Siebold & Zucc.) K. Koch	2496
10	Acer japonicum C.P. Thunberg ex A. Murray	8010851	Plantae	plants	2010.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Acer japonicum Thunb.	2497
11	Acer negundo L.	3189866	Plantae	harmonia | plants	1955.0		established | invasive	terrestrial | to be determined by experts	N. America	escape > horticulture | escape > to be determined by experts	present	present	present	present	Acer negundo L.	23 | 24 | 2498
12	Acer palmatum C.P. Thunberg ex A. Murray	7912328	Plantae	plants	2013.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Acer palmatum Thunb.	2499
13	Acer rubrum L.	3189883	Plantae	plants	2008.0		introduced	to be determined by experts	N. America	escape > horticulture	present	present	absent	absent	Acer rubrum L.	2500
14	Acer rufinerve Sieb. & Zucc.	7263145	Plantae	harmonia | plants	1990.0		established	terrestrial | to be determined by experts	Asia	escape > horticulture | escape > to be determined by experts	present	present | to be determined by experts	present	present | to be determined by experts	Acer rufinerve Sieb. & Zucc.	25 | 2501
16	Acer tataricum subsp. ginnala (Maxim.) Wesmael	4925890	Plantae	plants	2012.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Acer tataricum subsp. ginnala (Maxim.) Wesmael	2503
17	Achillea ageratum L.	3120391	Plantae	plants	1953.0		introduced	to be determined by experts	Europe | Africa	escape > horticulture	present	present	absent	absent	Achillea ageratum L.	487
19	Achillea filipendulina Lam.	3120284	Plantae	plants	1944.0		introduced	to be determined by experts	Asia	escape > horticulture	present	present	present	absent	Achillea filipendulina Lam.	490
20	Achillea nobilis L.	3120024	Plantae	plants	1880.0		established	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant | escape > horticulture	present	present	present	present	Achillea nobilis L.	491
21	Achnatherum bromoides (L.) P.Beauv.	4142335	Plantae	plants	1948.0		introduced	to be determined by experts	Europe	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Stipa bromoides (L.) Dörfl.	2162
22	Achnatherum calamagrostis (L.) P.Beauv.	4142326	Plantae	plants	1835.0		introduced	to be determined by experts	Europe	escape > horticulture	present	present	present	absent	Achnatherum calamagrostis (L.) P.Beauv.	1843
23	Acipenser baerii Brandt, 1869	4287131	Animalia	fishes	2001.0	2001	established	freshwater	Asia	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )	present	present	to be determined by experts	to be determined by experts	Acipenser baerii Brandt, 1869	0
24	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	2402129	Animalia	fishes	2005.0	2005	established	freshwater	Europe	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )	present	present	to be determined by experts	to be determined by experts	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	1
26	Acmella L. C. Rich. ex Pers.	7764312	Plantae	plants	1955.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	contaminant > contaminant on animals (except parasites, species transported by host/vector)	present	absent	present	absent	Acmella L. C. Rich. ex Pers.	493
27	Acmella oleracea (L.) R.K.Jansen	5386764	Plantae	plants	2008.0		introduced	to be determined by experts	S. America	escape > horticulture	present	present	absent	absent	Acmella oleracea (L.) R.K.Jansen	494
28	Aconogonon campanulatum (Hook. fil.) Hara	6391389	Plantae	plants	2013.0		unknown	to be determined by experts	Asia	escape > horticulture	present	present	absent	absent	Aconogonum campanulatum (Hook. f.) H. Hara	2209
29	Aconogonum divaricatum (L.) Nakai	7922417	Plantae	plants	2008.0		introduced	to be determined by experts	Asia	escape > horticulture	present	absent	present	absent	Aconogonum divaricatum (L.) Nakai	2210
30	Aconogonum ×fennicum Reiersen	8464367	Plantae	plants	2014.0		introduced	to be determined by experts	unknown	escape > horticulture	present	present	absent	absent	Aconogonum ×fennicum Reiersen	2211
31	Acorus calamus L.	2873769	Plantae	plants	1680.0		established	to be determined by experts	Asia	escape > horticulture	present	present	present	present	Acorus calamus L.	237
32	Actinidia chinensis var. hispida C.F. Liang	3644922	Plantae	plants	2000.0		introduced	to be determined by experts	Asia	escape > live food and live bait	present	present	present	absent	Actinidia deliciosa (Chev.) C.F. Liang & A.R. Ferguson	238
33	Adenostyles alliariae (Gouan) A.Kern.	3133702	Plantae	plants	1971.0		introduced	to be determined by experts	Europe	unknown	present	absent	present	absent	Adenostyles alliariae (Gouan) A.Kern.	495
34	Adiantum capillus-veneris L.	2651816	Plantae	plants	2001.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	escape > horticulture	present	present	absent	absent	Adiantum capillus-veneris L.	2280
35	Adiantum raddianum Presl	2651826	Plantae	plants	2003.0		introduced	to be determined by experts	S. America	escape > horticulture	present	present	absent	present	Adiantum raddianum Presl	2281
36	Adonis annua L.	5371709	Plantae	plants	1846.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant | escape > horticulture	present	present	present	absent	Adonis annua L.	2288
37	Adonis flammea Jacq.	8246651	Plantae	plants	1864.0		introduced	to be determined by experts	Europe	contaminant > seed contaminant | escape > horticulture	present	present	present	absent	Adonis flammea Jacq.	2289
38	Aegilops cylindrica Host	5289783	Plantae	plants	1876.0		introduced	to be determined by experts	Europe | Asia	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > seed contaminant	present	present	present	present	Aegilops cylindrica Host	1844
39	Aegilops geniculata Roth	5289781	Plantae	plants	1854.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Aegilops geniculata Roth	1845
40	Aegilops triuncialis L.	5289793	Plantae	plants	1854.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	present	Aegilops triuncialis L.	1846
41	Aegilops ventricosa Tausch	5289791	Plantae	plants	1835.0		introduced	to be determined by experts	to be determined by experts	contaminant > seed contaminant	present	present	present	absent	Aegilops ventricosa Tausch	1847
42	Aeluropus littoralis (Gouan) Parl.	4136390	Plantae	plants	1853.0		introduced	to be determined by experts	to be determined by experts	unknown	present	present	absent	absent	Aeluropus littoralis (Gouan) Parl.	1848
43	Aeschynomene americana L.	2949235	Plantae	plants	2003.0		introduced	to be determined by experts	N. America | S. America	contaminant > seed contaminant	present	present	absent	absent	Aeschynomene americana L.	1246
44	Aeschynomene indica L.	2949250	Plantae	plants	1999.0		introduced	to be determined by experts	Africa | N. America | S. America | Asia | Oceania	contaminant > seed contaminant	present	present	absent	absent	Aeschynomene indica L.	1247
45	Aesculus hippocastanum L.	3189815	Plantae	plants	1980.0		established	to be determined by experts	Europe	escape > horticulture	present	present	present	present	Aesculus hippocastanum L.	2504
46	Aesculus indica (Colebr. ex Cambess.) Hook.	8566446	Plantae	plants	1997.0		introduced	to be determined by experts	Asia	escape > horticulture	present	absent	absent	present	Aesculus indica (Colebr. ex Cambess.) Hook.	2505
