taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	euConcernStatus	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	nativeRange	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	t0	Acer negundo		Plantae												under consideration											present														
	t0	Alopochen aegyptiaca		Animalia												under consideration											present														
	t0	Alternanthera philoxeroides		Plantae												under consideration											absent														
	t0	Ameiurus melas		Animalia												under consideration											absent														
	t0	Asclepias syriaca		Plantae												under consideration											present														
	t0	Symphyotrichum salignum		Plantae																							present														
	t0	Baccharis halimifolia		Plantae												listed											present														
	t0	Bison bison		Animalia												under consideration											absent														
	t0	Cabomba caroliniana		Plantae												listed											present														
	t0	Callosciurus erythraeus		Animalia												listed											present														
	t0	Caprella mutica		Animalia																							present														
	t0	Castor canadensis		Animalia																							present														
	t0	Celastrus orbiculatus		Plantae																							present														
	t0	Corvus splendens		Animalia												listed											absent														
	t0	Cotoneaster ambiguus		Plantae																							present														
	t0	Cotoneaster ascendens		Plantae																							present														
	t0	Cotoneaster boisianus		Plantae																							present														
	t0	Cotoneaster bullatus		Plantae																							present														
	t0	Cotoneaster conspicuus		Plantae																							present														
	t0	Cotoneaster coriaceus		Plantae																							present														
	t0	Cotoneaster dammeri		Plantae																							present														
	t0	Cotoneaster dielsianus		Plantae																							present														
	t0	Cotoneaster divaricatus		Plantae																							present														
	t0	Cotoneaster fangianus		Plantae																							present														
	t0	Cotoneaster franchetii		Plantae																							present														
	t0	Cotoneaster ganghobaensis		Plantae																							present														
	t0	Cotoneaster hjelmqvistii		Plantae																							present														
	t0	Cotoneaster horizontalis		Plantae																							present														
	t0	Cotoneaster hylmoei		Plantae																							present														
	t0	Cotoneaster integrifolius		Plantae																							absent														
	t0	Cotoneaster lucidus		Plantae																							present														
	t0	Cotoneaster mairei		Plantae																							absent														
	t0	Cotoneaster moupinensis		Plantae																							present														
	t0	Cotoneaster nanshan		Plantae																							present														
	t0	Cotoneaster qungbixiensis		Plantae																							present														
	t0	Cotoneaster rehderi		Plantae																							present														
	t0	Cotoneaster salicifolius		Plantae																							present														
	t0	Cotoneaster simonsii		Plantae																							present														
	t0	Cotoneaster sternianus		Plantae																							present														
	t0	Cotoneaster villosulus		Plantae																							present														
	t0	Cotoneaster x suecicus		Plantae																							present														
	t0	Cotoneaster x watereri		Plantae																							present														
	t0	Cotoneaster zabelii		Plantae																							present														
	t0	Crepidula fornicata		Animalia																							present														
	t0	Didemnum vexillum		Animalia																							absent														
	t0	Eichhornia crassipes		Plantae												listed											present														
	t0	Elodea nuttallii		Plantae												under consideration											present														
	t0	Eriocheir sinensis		Animalia												listed											present														
	t0	Fallopia bohemica		Plantae												under preparation											present														
	t0	Fraxinus pennsylvanica		Plantae																							present														
	t0	Gaillardia grandiflora		Plantae																							present														
	t0	Gunnera manicata		Plantae												under consideration											absent														
	t0	Gunnera tinctoria		Plantae												under consideration											absent														
	t0	Heracleum mantegazzianum		Plantae												under consideration											present														
	t0	Heracleum persicum		Plantae												listed											absent														
	t0	Heracleum sosnowskyi		Plantae												listed											absent														
	t0	Herpestes javanicus		Animalia												listed											absent														
	t0	Homarus americanus		Animalia												under consideration											absent														
	t0	Hyacinthoides hispanica		Plantae																							present														
	t0	Hydrocotyle ranunculoides		Plantae												listed											present														
	t0	Impatiens balfourii		Plantae																							present														
	t0	Impatiens capensis		Plantae																							present														
	t0	Impatiens edgeworthii		Plantae																							absent														
	t0	Impatiens glandulifera		Plantae												under consideration											present														
	t0	Lagarosiphon major		Plantae												listed											present														
	t0	Lepomis gibbosus		Animalia												under consideration											present														
	t0	Lithobates catesbeianus		Animalia												listed											present														
	t0	Ludwigia grandiflora		Plantae												listed											present														
	t0	Ludwigia peploides		Plantae												listed											present														
	t0	Lupinus polyphyllus		Plantae												under consideration											present														
	t0	Lysichiton americanus		Plantae												listed											present														
	t0	Lysichiton camtschatcensis		Plantae																							absent														
	t0	Micropterus dolomieu		Animalia																							absent														
	t0	Microstegium vimineum		Plantae												under consideration											absent														
	t0	Muntiacus reevesi		Animalia												listed											present														
	t0	Neovison vison		Animalia																							present														
	t0	Myocastor coypus		Animalia												listed											present														
	t0	Myriophyllum aquaticum		Plantae												listed											present														
	t0	Myriophyllum heterophyllum		Plantae												under consideration											present														
	t0	Nasua nasua		Animalia												listed											present														
	t0	Nyctereutes procyonoides		Animalia												under consideration											present														
	t0	Oenothera affinis		Plantae																							present														
	t0	Oenothera angustissima		Plantae																							present														
	t0	Oenothera oakesiana		Plantae																							present														
	t0	Oenothera biennis		Plantae																							present														
	t0	Oenothera pycnocarpa		Plantae																							present														
	t0	Oenothera cambrica		Plantae																							present														
	t0	Oenothera cruciata		Plantae																							present														
	t0	Oenothera curtiflora		Plantae																							present														
	t0	Oenothera deflexa		Plantae																							present														
	t0	Oenothera depressa		Plantae																							present														
	t0	Oenothera elata		Plantae																							present														
	t0	Oenothera fruticosa subsp. glauca		Plantae																							present														
	t0	Oenothera glazioviana		Plantae																							present														
	t0	Oenothera indecora		Plantae																							present														
	t0	Oenothera laciniata		Plantae																							present														
	t0	Oenothera lindheimeri		Plantae																							present														
	t0	Oenothera nuda		Plantae																							present														
	t0	Oenothera oehlkersii		Plantae																							present														
	t0	Oenothera x fallax		Plantae																							present														
	t0	Oenothera paradoxa		Plantae																							present														
	t0	Oenothera parviflora		Plantae																							present														
	t0	Oenothera perangusta		Plantae																							present														
	t0	Oenothera perennis		Plantae																							present														
	t0	Oenothera rosea		Plantae																							present														
	t0	Oenothera royfraseri		Plantae																							present														
	t0	Oenothera rubricaulis		Plantae																							present														
	t0	Oenothera rubricalyx		Plantae																							present														
	t0	Oenothera rubricauloides		Plantae																							present														
	t0	Oenothera speciosa		Plantae																							present														
	t0	Oenothera stricta		Plantae																							present														
	t0	Oenothera subterminalis		Plantae																							present														
	t0	Oenothera victorini		Plantae																							present														
	t0	Oenothera wratislaviensis		Plantae																							present														
	t0	Oenothera x issleri		Plantae																							present														
