gbifapi_acceptedScientificName	gbifapi_acceptedKey	kingdom	invasionStage	datasetName	presenceBE	gbifapi_scientificName	index
Abies alba Mill.	2685484	Plantae	introduced	plants	present	Abies alba Mill.	1778
Abies grandis (Douglas ex D. Don) Lindl.	2685361	Plantae	introduced	plants	present	Abies grandis (Douglas ex D. Don) Lindl.	1779
Abronia fragrans Nutt. ex Hook.	5384889	Plantae	introduced	plants	present	Abronia fragrans Nutt.	1659
Abutilon theophrasti Medik.	3152614	Plantae	unknown	plants	present	Abutilon theophrasti Medik.	1610
Acalypha indica L.	3056259	Plantae	introduced	plants	present	Acalypha indica L.	1221
Acanthospermum hispidum DC.	3100375	Plantae	introduced	plants	present	Acanthospermum hispidum DC.	486
Acanthus mollis L.	5415455	Plantae	introduced	plants	present	Acanthus mollis L.	236
Acartia tonsa Dana, 1849	2114446	Animalia	established, to be determined by experts	wrims	present	Acartia tonsa Dana, 1849	9352, 9353
Acer cappadocicum Gled.	7262908	Plantae	introduced	plants	present	Acer cappadocicum Gled.	2495
Acer cissifolium (Sieb. & Zucc.) C. Koch	7877018	Plantae	introduced	plants	present	Acer cissifolium (Sieb. & Zucc.) C. Koch	2496
Acer japonicum C.P. Thunberg ex A. Murray	8010851	Plantae	introduced	plants	present	Acer japonicum Thunb.	2497
Acer negundo L.	3189866	Plantae, nan	established, invasive	harmonia, plants	present	Acer negundo L.	23, 24, 2498
Acer palmatum C.P. Thunberg ex A. Murray	7912328	Plantae	introduced	plants	present	Acer palmatum Thunb.	2499
Acer rubrum L.	3189883	Plantae	introduced	plants	present	Acer rubrum L.	2500
Acer rufinerve Sieb. & Zucc.	7263145	Plantae, nan	established	harmonia, plants	present	Acer rufinerve Sieb. & Zucc.	25, 2501
Acer saccharinum L.	3189837	Plantae	unknown	plants	present	Acer saccharinum L.	2502
Acer tataricum subsp. ginnala (Maxim.) Wesmael	4925890	Plantae	introduced	plants	present	Acer tataricum subsp. ginnala (Maxim.) Wesmael	2503
Achillea ageratum L.	3120391	Plantae	introduced	plants	present	Achillea ageratum L.	487
Achillea collina (Becker ex Wirtg.) Heimerl	7767460	Plantae	unknown	plants	present	Achillea collina Becker ex Rchb.	489
Achillea filipendulina Lam.	3120284	Plantae	introduced	plants	present	Achillea filipendulina Lam.	490
Achillea nobilis L.	3120024	Plantae	established	plants	present	Achillea nobilis L.	491
Achnatherum calamagrostis (L.) P.Beauv.	4142326	Plantae	introduced	plants	present	Achnatherum calamagrostis (L.) P.Beauv.	1843
Acipenser baerii Brandt, 1869	4287131	Animalia	established	fishes	present	Acipenser baerii Brandt, 1869	0
Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	2402129	Animalia	established	fishes	present	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	1
Acipenser ruthenus Linnaeus, 1758	2402168	Animalia	established	fishes	present	Acipenser ruthenus Linnaeus, 1758	2
Acmella L. C. Rich. ex Pers.	7764312	Plantae	introduced	plants	present	Acmella L. C. Rich. ex Pers.	493
Acmella oleracea (L.) R.K.Jansen	5386764	Plantae	introduced	plants	present	Acmella oleracea (L.) R.K.Jansen	494
Aconogonon campanulatum (Hook. fil.) Hara	6391389	Plantae	unknown	plants	present	Aconogonum campanulatum (Hook. f.) H. Hara	2209
