index	nameMatchValidation	taxonID	datasetName	taxonRank	scientificName	verbatimScientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	vernacularNameEN	vernacularNameNL	vernacularNameFR	verbatimInvasionStage	invasionStage	invasionStageCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	verbatimIntroductionPathway	introductionPathway	introductionMode	verbatimHabitat	habitat	verbatimNativeRange	nativeRange	verbatimPresenceBE	verbatimPresenceFL	verbatimPresenceWA	verbatimPresenceBR	verbatimPresenceBECoast	verbatimPresenceBPNS	verbatimPresenceBEEZ	presenceBE	presenceFL	presenceWA	presenceBR	presenceBECoast	presenceBPNS	presenceBEEZ	firstObservationYearBE	firstObservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes	manual_acceptedKey	gbifapi_usageKey	gbifapi_scientificName	gbifapi_canonicalName	gbifapi_status	gbifapi_rank	gbifapi_matchType	gbifapi_acceptedKey	gbifapi_acceptedScientificName
0	ok		fishes	species	Acipenser baerii	Acipenser baeri		Animalia								Siberian sturgeon			A	established						AQ, OR	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					2001								4287131	Acipenser baerii Brandt, 1869	Acipenser baerii	ACCEPTED	SPECIES	EXACT	4287131	Acipenser baerii Brandt, 1869
1	ok		fishes	species	Acipenser gueldenstaedtii	Acipenser guldenstaedti		Animalia								Russian sturgeon			A	established						AQ, OR	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					2005								2402129	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833	Acipenser gueldenstaedtii	ACCEPTED	SPECIES	EXACT	2402129	Acipenser gueldenstaedtii Brandt & Ratzeburg, 1833
2	ok		fishes	species	Acipenser ruthenus	Acipenser ruthenus		Animalia								Sterlet			A	established						AQ, OR	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					20xx								2402168	Acipenser ruthenus Linnaeus, 1758	Acipenser ruthenus	ACCEPTED	SPECIES	EXACT	2402168	Acipenser ruthenus Linnaeus, 1758
3	ok		fishes	species	Ameiurus nebulosus	Ameiurus nebulosus		Animalia								Brown bullhead			N	established						AQ, OR	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )			freshwater		to be determined by experts								present	present	to be determined by experts	to be determined by experts					1871								2340989	Ameiurus nebulosus (Lesueur, 1819)	Ameiurus nebulosus	ACCEPTED	SPECIES	EXACT	2340989	Ameiurus nebulosus (Lesueur, 1819)
4	ok: SYNONYM verified		fishes	species	Aspius aspius	Aspius aspius		Animalia								Asp			N	established						AN	release > fishery in the wild (including game fishing) | escape > live food and live bait			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					1984								2360181	Aspius aspius (Linnaeus, 1758)	Aspius aspius	SYNONYM	SPECIES	EXACT	5851603	Leuciscus aspius (Linnaeus, 1758)
5	ok		fishes	species	Carassius auratus	Carassius auratus		Animalia								Goldfish			A	established						OR	escape > ornamental purpose other than horticulture			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					17th c.								4286942	Carassius auratus (Linnaeus, 1758)	Carassius auratus	ACCEPTED	SPECIES	EXACT	4286942	Carassius auratus (Linnaeus, 1758)
6	ok		fishes	species	Carassius gibelio	Carassius gibelio		Animalia								Gibel carp			N	established						UN	contaminant > contaminant on animals (except parasites, species transported by host/vector)			freshwater	AS or EE	unknown								present	present	to be determined by experts	to be determined by experts					17th c.								2366634	Carassius gibelio (Bloch, 1782)	Carassius gibelio	ACCEPTED	SPECIES	EXACT	2366634	Carassius gibelio (Bloch, 1782)
7	ok		fishes	species	Clarias gariepinus	Clarias gariepinus		Animalia								African catfish			A*	established						AQ	escape > aquaculture / mariculture			freshwater	AFR	Africa								present	present	to be determined by experts	to be determined by experts					1980s								5202793	Clarias gariepinus (Burchell, 1822)	Clarias gariepinus	ACCEPTED	SPECIES	EXACT	5202793	Clarias gariepinus (Burchell, 1822)
8	ok		fishes	species	Ctenopharyngodon idella	Ctenopharyngodon idella		Animalia								Grass carp			A	established						BC	release > biological control			freshwater	AS	Asia								present	present	to be determined by experts	to be determined by experts					1967								2362030	Ctenopharyngodon idella (Valenciennes, 1844)	Ctenopharyngodon idella	ACCEPTED	SPECIES	EXACT	2362030	Ctenopharyngodon idella (Valenciennes, 1844)
9	ok		fishes	species	Cyprinus carpio	Cyprinus carpio		Animalia								Common carp			N	established						AQ	escape > aquaculture / mariculture			freshwater	EE	Europe								present	present	to be determined by experts	to be determined by experts					13th c.								4286975	Cyprinus carpio Linnaeus, 1758	Cyprinus carpio	ACCEPTED	SPECIES	EXACT	4286975	Cyprinus carpio Linnaeus, 1758
