name	kingdom	euConcernStatus	presenceBE
Acer negundo	Plantae	under consideration	present
Alopochen aegyptiaca	Animalia	listed	present
Alternanthera philoxeroides	Plantae	listed	absent
Ameiurus melas	Animalia	under consideration	absent
Asclepias syriaca	Plantae	listed	present
Symphyotrichum salignum	Plantae		present
Baccharis halimifolia	Plantae	listed	present
Bison bison	Animalia	under consideration	absent
Cabomba caroliniana	Plantae	listed	present
Callosciurus erythraeus	Animalia	listed	present
Caprella mutica	Animalia		present
Castor canadensis	Animalia		present
Celastrus orbiculatus	Plantae		present
Corvus splendens	Animalia	listed	absent
Cotoneaster ambiguus	Plantae		present
Cotoneaster ascendens	Plantae		present
Cotoneaster boisianus	Plantae		present
Cotoneaster bullatus	Plantae		present
Cotoneaster conspicuus	Plantae		present
Cotoneaster coriaceus	Plantae		present
Cotoneaster dammeri	Plantae		present
Cotoneaster dielsianus	Plantae		present
Cotoneaster divaricatus	Plantae		present
Cotoneaster fangianus	Plantae		present
Cotoneaster franchetii	Plantae		present
Cotoneaster ganghobaensis	Plantae		present
Cotoneaster hjelmqvistii	Plantae		present
Cotoneaster horizontalis	Plantae		present
Cotoneaster hylmoei	Plantae		present
Cotoneaster integrifolius	Plantae		absent
Cotoneaster lucidus	Plantae		present
Cotoneaster mairei	Plantae		absent
Cotoneaster moupinensis	Plantae		present
Cotoneaster nanshan	Plantae		present
Cotoneaster qungbixiensis	Plantae		present
Cotoneaster rehderi	Plantae		present
Cotoneaster salicifolius	Plantae		present
Cotoneaster simonsii	Plantae		present
Cotoneaster sternianus	Plantae		present
Cotoneaster villosulus	Plantae		present
Cotoneaster x suecicus	Plantae		present
Cotoneaster x watereri	Plantae		present
Cotoneaster zabelii	Plantae		present
Crepidula fornicata	Animalia		present
Didemnum vexillum	Animalia		absent
Eichhornia crassipes	Plantae	listed	present
Elodea nuttallii	Plantae	listed	present
Eriocheir sinensis	Animalia	listed	present
Fallopia bohemica	Plantae	under preparation	present
Fraxinus pennsylvanica	Plantae		present
Gaillardia grandiflora	Plantae		present
Gunnera manicata	Plantae	under consideration	absent
Gunnera tinctoria	Plantae	listed	absent
Heracleum mantegazzianum	Plantae	listed	present
Heracleum persicum	Plantae	listed	absent
Heracleum sosnowskyi	Plantae	listed	absent
Herpestes javanicus	Animalia	listed	absent
Homarus americanus	Animalia	under consideration	absent
Hyacinthoides hispanica	Plantae		present
Hydrocotyle ranunculoides	Plantae	listed	present
Impatiens balfourii	Plantae		present
Impatiens capensis	Plantae		present
Impatiens edgeworthii	Plantae		absent
Impatiens glandulifera	Plantae	listed	present
Lagarosiphon major	Plantae	listed	present
Lepomis gibbosus	Animalia	under consideration	present
Lithobates catesbeianus	Animalia	listed	present
Ludwigia grandiflora	Plantae	listed	present
Ludwigia peploides	Plantae	listed	present
Lupinus polyphyllus	Plantae	under consideration	present
Lysichiton americanus	Plantae	listed	present
Lysichiton camtschatcensis	Plantae		absent
Micropterus dolomieu	Animalia		absent
Microstegium vimineum	Plantae	listed	absent
Muntiacus reevesi	Animalia	listed	present
Neovison vison	Animalia		present
Myocastor coypus	Animalia	listed	present
Myriophyllum aquaticum	Plantae	listed	present
Myriophyllum heterophyllum	Plantae	listed	present
Nasua nasua	Animalia	listed	present
Nyctereutes procyonoides	Animalia	listed	present
Oenothera affinis	Plantae		present
Oenothera angustissima	Plantae		present
Oenothera oakesiana	Plantae		present
Oenothera biennis	Plantae		present
Oenothera pycnocarpa	Plantae		present
Oenothera cambrica	Plantae		present
Oenothera cruciata	Plantae		present
Oenothera curtiflora	Plantae		present
Oenothera deflexa	Plantae		present
Oenothera depressa	Plantae		present
Oenothera elata	Plantae		present
Oenothera fruticosa subsp. glauca	Plantae		present
Oenothera glazioviana	Plantae		present
Oenothera indecora	Plantae		present
Oenothera laciniata	Plantae		present
Oenothera lindheimeri	Plantae		present
Oenothera nuda	Plantae		present
Oenothera oehlkersii	Plantae		present
Oenothera x fallax	Plantae		present
Oenothera paradoxa	Plantae		present
Oenothera parviflora	Plantae		present
Oenothera perangusta	Plantae		present
Oenothera perennis	Plantae		present
Oenothera rosea	Plantae		present
Oenothera royfraseri	Plantae		present
Oenothera rubricaulis	Plantae		present
Oenothera rubricalyx	Plantae		present
