dataset	verbatimValue	controlledValue
plants	Agric.	escape > agriculture (including biofuel feedstocks)
plants	Agric.,etc	escape > agriculture (including biofuel feedstocks)
plants	Agric., wool	escape > agriculture (including biofuel feedstocks) | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Agric., wool,etc	escape > agriculture (including biofuel feedstocks) | contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Agric., hort.	escape > agriculture (including biofuel feedstocks) | escape > horticulture
plants	Hort., agric.	escape > agriculture (including biofuel feedstocks) | escape > horticulture
plants	Agric., grain	escape > agriculture (including biofuel feedstocks) | contaminant > seed contaminant
fishes	AQ	escape > aquaculture / mariculture
harmonia	aqua- and mariculture	escape > aquaculture / mariculture
macroinvertebrates	aquaculture	escape > aquaculture / mariculture
macroinvertebrates	aquaculture, other	escape > aquaculture / mariculture
fishes	AQ, AN	release > fishery in the wild (including game fishing) | escape > aquaculture / mariculture | escape > live food and live bait
fishes	AQ, OR	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )
macroinvertebrates	aquaculture, aquarium trade	escape > aquaculture / mariculture | escape > pet/aquarium/terrarium species (including live food for such species )
fishes	BC	release > biological control
harmonia	biological control	release > biological control
plants	Nurseries	contaminant > contaminant nursery material
plants	Nurseries,etc	contaminant > contaminant nursery material
plants	Nurseries, etc	contaminant > contaminant nursery material
plants	Urban weed, nurseries	contaminant > contaminant nursery material | stowaway
fishes	UN	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Waterfowl	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Waterfowl?, wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool 	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, ...	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool alien	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool,etc	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Wool, hort.?	contaminant > contaminant on animals (except parasites, species transported by host/vector)
plants	Urban weed, wool	contaminant > contaminant on animals (except parasites, species transported by host/vector) | stowaway
plants	Wool, urban weed	contaminant > contaminant on animals (except parasites, species transported by host/vector) | stowaway
plants	Wool, ore	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Wool, ore,etc	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)
plants	Wool, ore, salt	contaminant > contaminant on animals (except parasites, species transported by host/vector) | contaminant > transportation of habitat material (soil, vegetation,…)
