id,scientificname,species_group,species_type,species_status,count_obs
1,Botaurus stellaris,Vogels,S,Native,16150
2,Tachybaptus ruficollis,Vogels,S,Native,86003
3,Podiceps nigricollis,Vogels,S,Native,27354
4,Ixobrychus minutus,Vogels,S,Native,8055
5,Nycticorax nycticorax,Vogels,S,Native,3750
6,Ardea purpurea,Vogels,S,Native,3772
7,Ciconia ciconia,Vogels,S,Native,29041
8,Platalea leucorodia,Vogels,S,Native,23987
10,Netta rufina,Vogels,S,Native,6446
11,Somateria mollissima,Vogels,S,Native,3676
12,Milvus milvus,Vogels,S,Native,33991
13,Circus cyaneus,Vogels,S,Native,43479
14,Circus pygargus,Vogels,S,Native,3238
15,Lyrurus tetrix,Vogels,S,Native,1267
16,Perdix perdix,Vogels,S,Native,33494
17,Porzana porzana,Vogels,S,Native,3018
18,Crex crex,Vogels,S,Native,793
19,Grus grus,Vogels,S,Native,25222
20,Recurvirostra avosetta,Vogels,S,Native,22493
21,Burhinus oedicnemus,Vogels,S,Native,220
22,Charadrius hiaticula,Vogels,S,Native,13222
23,Charadrius alexandrinus,Vogels,S,Native,1054
24,Philomachus pugnax,Vogels,S,Native,26239
25,Gallinago gallinago,Vogels,S,Native,64930
26,Limosa limosa,Vogels,S,Native,35475
27,Tringa totanus,Vogels,S,Native,41284
28,Thalasseus sandvicensis,Vogels,S,Native,4907
29,Sterna hirundo,Vogels,S,Native,26769
30,Sterna paradisaea,Vogels,S,Native,1152
31,Sternula albifrons,Vogels,S,Native,1627
32,Chlidonias niger,Vogels,S,Native,11347
33,Tyto alba,Vogels,S,Native,9750
34,Athene noctua,Vogels,S,Native,29916
35,Asio flammeus,Vogels,S,Native,7763
36,Caprimulgus europaeus,Vogels,S,Native,3818
37,Alcedo atthis,Vogels,S,Native,76208
38,Upupa epops,Vogels,S,Native,742
39,Jynx torquilla,Vogels,S,Native,3634
40,Picus viridis,Vogels,S,Native,113884
41,Galerida cristata,Vogels,S,Native,2159
43,Anthus campestris,Vogels,S,Native,2816
44,Saxicola rubetra,Vogels,S,Native,20593
45,Saxicola rubicola,Vogels,S,Native,67980
46,Oenanthe oenanthe,Vogels,S,Native,36810
47,Locustella luscinioides,Vogels,S,Native,3687
48,Acrocephalus schoenobaenus,Vogels,S,Native,23565
49,Acrocephalus arundinaceus,Vogels,S,Native,2193
50,Panurus biarmicus,Vogels,S,Native,8647
51,Lanius collurio,Vogels,S,Native,12309
52,Lanius excubitor,Vogels,S,Native,17483
53,Lanius senator,Vogels,S,Native,340
54,Corvus corax,Vogels,S,Native,7144
55,Emberiza citrinella,Vogels,S,Native,60428
56,Emberiza hortulana,Vogels,S,Native,862
57,Emberiza calandra,Vogels,S,Native,11311
58,Phalacrocorax carbo,Vogels,S,Native,152606
59,Coccothraustes coccothraustes,Vogels,S,Native,24630
61,Tadorna tadorna,Vogels,S,Native,93254
62,Luscinia svecica,Vogels,S,Native,37687
64,Ardea cinerea,Vogels,S,Native,170650
65,Hirundo rustica,Vogels,S,Native,93101
67,Corvus cornix,Vogels,S,Native,1181
