Taxon	Synonym	Family	M/I	FR	MRR	Origin	Presence_Fl	Presence_Br	Presence_Wa	D/N	V/I
Acanthus mollis L.		Acanthaceae	D	1998	2015	E AF	X		X	Cas.	Hort.
Acorus calamus L.		Acoraceae	D	1680	N	AS-Te	X	X	X	Nat.	Hort.
Actinidia deliciosa (Chevalier) C.S. Liang et A.R. Ferguson		Actinidiaceae	D	2000	Ann.	AS-Te	X		X	Cas.	Food refuse
Sambucus canadensis L.		Adoxaceae	D	1972	2015	NAM	X			Cas.	Hort.
Viburnum davidii Franch.		Adoxaceae	D	2014	2015	AS-Te	X			Cas.	Hort.
Viburnum rhytidophyllum Hemsl.		Adoxaceae	D	1990	N	AS-Te	X	X	X	Cas.	Hort.
Viburnum tinus L.		Adoxaceae	D	2007	2015	E	X			Cas.	Hort.
Viburnum x rhytidophylloides Suringar (V. lantana x rhytidophyllum)		Adoxaceae	D	2013	2015	Hybr.	X			Cas.	Hort.
Delosperma cooperi (Hook.f.) L. Bolus		Aizoaceae	D	2009	2009	AF	X			Cas.	Hort.
Mesembryanthemum cordifolium L.f. 	Aptenia cordifolia (L. f.) Schwantes	Aizoaceae	A	1892	1947	AF			X	Cas.	Wool
Mesembryanthemum crystallinum L.		Aizoaceae	D	1955	1955	AF			X	Cas.	Hort.
Mesembryanthemum nodiflorum L.		Aizoaceae	A	1895	1949	E AF AS-Te			X	Cas.	Wool
Sesuvium portulacastrum (L.) L.		Aizoaceae	A	1907	1907	Trop.			X	Cas.	Wool?
Tetragonia tetragonioides (Pallas) O. Kuntze		Aizoaceae	A/D	1888	2015	AS-Tr AUS SAM	X	X	X	Cas.	Agric., wool
Sagittaria latifolia Willd.		Alismataceae	D	1997	N	AM	X		X	Nat.	Hort.
Liquidambar styraciflua L.		Altingiaceae	D	2007	2015	NAM	X			Cas.	Hort.
Alternanthera angustifolia R. Brown		Amaranthaceae	A	1895	1895	AUS			X	Cas.	Wool
Alternanthera caracasana Humb., Bonpl. et Kunth		Amaranthaceae	A	1947	1948	SAM			X	Cas.	Wool
Alternanthera denticulata R. Brown		Amaranthaceae	A	1895	1947	AUS			X	Cas.	Wool
Alternanthera nodiflora R. Brown		Amaranthaceae	A	1947	1947	AF AS-Tr AUS			X	Cas.	Wool
Alternanthera paronychioides A. St. Hil.		Amaranthaceae	A	1911	1911	SAM			X	Cas.	Wool
Alternanthera pungens Humb., Bonpl. et Kunth		Amaranthaceae	A	<1949	<1949	SAM			X	Cas.	Wool
Alternanthera sessilis (L.) DC.		Amaranthaceae	A	1911	1951	Trop.			X	Cas.	Wool
Alternanthera tenella Colla		Amaranthaceae	A	2001	2002	SAM	X			Cas.	Grain
Amaranthus acutilobus Uline et Bray		Amaranthaceae	A	1908	1928	NAM			X	Cas.	Wool
Amaranthus albus L.		Amaranthaceae	A	1857	N	NAM	X	X	X	Nat.	Grain, wool,…
Amaranthus blitoides S. Watson		Amaranthaceae	A	1886	N	NAM	X		X	Nat.	Grain, wool,…
Amaranthus blitum L. s.l.		Amaranthaceae	A	<1835	N	E AF AS 	X	X	X	Nat.	Grain, wool,…
Amaranthus capensis Thell. subsp. capensis		Amaranthaceae	A	1890	1911	AF			X	Cas.	Wool
Amaranthus capensis Thell. subsp. uncinatus (Thell.) Brenan	Amaranthus dinteri Schinz var. uncinatus Thell.	Amaranthaceae	A	1890	1949	AF			X	Cas.	Wool
Amaranthus caudatus L.		Amaranthaceae	D	1874	2015	Trop.	X	X	X	Cas.	Hort.
Amaranthus clementii Domin	 	Amaranthaceae	A	1939	1949	AUS			X	Cas.	Wool
Amaranthus crispus (Lesp. et Thév.) N. Terrac.		Amaranthaceae	A	1884	1959	SAM			X	Cas.	Wool,…
Amaranthus cruentus L.	Amaranthus hybridus L. subsp. cruentus (L.) Thell.	Amaranthaceae	D	2005	2005	SAM			X	Cas.	Hort.
Amaranthus deflexus L.		Amaranthaceae	A	<1850	N	SAM	X		X	Nat.	Grain, wool,…
Amaranthus graecizans L.		Amaranthaceae	A	1874	1962	E AF AS	X		X	Cas.	Wool,…
Amaranthus hybridus L. subsp. hybridus var. hybridus		Amaranthaceae	A	1870	N	AM	X	X	X	Nat.	Grain, wool,…
Amaranthus hybridus L. subsp. hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus powelii S. Watson	Amaranthaceae	A	1904	2004	NAM	X	X	X	Cas.	Grain, wool,…
Amaranthus hybridus L. subsp. quitensis (Kunth) Costea et Carretero	Amaranthus quitensis Kunth	Amaranthaceae	A	1898	2013	SAM	X	X	X	Cas.	Grain, wool,…
Amaranthus hypochondriacus L.	Amaranthus hybridus subsp. hybridus var. erythrostachys Moq.	Amaranthaceae	D	1857	Ann.	NAM	X		X	Cas.	Hort.
Amaranthus macrocarpus Benth. var. macrocarpus		Amaranthaceae	A	1911	1949	AUS			X	Cas.	Wool
Amaranthus macrocarpus Benth. var. pallidus Benth.		Amaranthaceae	A	1947	1949	AUS			X	Cas.	Wool
Amaranthus mitchellii Benth.		Amaranthaceae	A	1892	1948	AUS			X	Cas.	Wool
Amaranthus muricatus (Moq.) Hieron.		Amaranthaceae	A	1947	1975	SAM	X		X	Cas.	Wool,…
Amaranthus palmeri S. Watson		Amaranthaceae	A	1952	2009	NAM	X	X	X	Cas.	Grain
Amaranthus polygonoides L.		Amaranthaceae	A	1959	1959	AM			X	Cas.	Wool
Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea et Carretero	Amaranthus bouchonii Thell.	Amaranthaceae	A	1957	N	E	X	X	X	Nat.	Grain,…
Amaranthus retroflexus L.		Amaranthaceae	A	1857	N	NAM	X	X	X	Nat.	Grain, wool,…
Amaranthus scleropoides Uline et Bray		Amaranthaceae	A	1959	1959	NAM			X	Cas.	Wool
Amaranthus spinosus L.		Amaranthaceae	A	1887	2007	Trop.	X		X	Cas.	Grain, wool,…
Amaranthus standleyanus Parodi ex Covas		Amaranthaceae	A	1903	2009	SAM	X		X	Cas.	Grain, wool,…
Amaranthus thunbergii Moq.		Amaranthaceae	A	1857	1975	AF	X		X	Cas.	Wool,…
Amaranthus tuberculatus (Moq.) Sauer		Amaranthaceae	A	1992	2005	NAM	X			Cas.	Grain
Amaranthus tuberculatus (Moq.) Sauer var. rudis (Sauer) Costea et Tardif	Amaranthus rudis Sauer	Amaranthaceae	A	1983	2003	NAM	X			Cas.	Grain
Amaranthus viridis L.		Amaranthaceae	A	1905	2013	SAM	X		X	Cas.	Wool, grain,…
Amaranthus x ozanonii (Thell.) C. Schuster et M. Goldschm. (A. hybridus x retroflexus)		Amaranthaceae	A	1983	2011	Hybr.	X		X	Cas.	Hybridization
Amaranthus x ralletii Contré (A. bouchonii x retroflexus)		Amaranthaceae	A	1985	1985	Hybr.		X		Cas.	Hybridization
Atriplex eardleyae Aell.		Amaranthaceae	A	1906	1906	AUS			X	Cas.	Wool
Atriplex halimus L.		Amaranthaceae	D	1922	1929	E AF AS-Te	X			Cas.	Hort.
Atriplex holocarpa F. Muell.	Senniella spongiosa (F. Muell.) Aell. var. holocarpa (F. Muell.) Aell.	Amaranthaceae	A	1906	1906	AUS			X	Cas.	Wool
Atriplex hortensis L.		Amaranthaceae	D	1859	Ann.	AS-Te	X	X	X	Cas.	Hort., wool, grain
Atriplex leptocarpa F. Muell.		Amaranthaceae	A	1911	1951	AUS			X	Cas.	Wool
Atriplex micrantha Ledeb.		Amaranthaceae	A	1957	N	AS-Te	X	X	X	Nat.	Wool,…
Atriplex muelleri Benth.		Amaranthaceae	A	1947	1951	AUS			X	Cas.	Wool
Atriplex oblongifolia Waldst. et Kit.		Amaranthaceae	A	<1850	<1850	E AF AS-Te			X	Cas.	?
Atriplex pseudocampanulata Aell.		Amaranthaceae	A	1895	1895	AUS			X	Cas.	Wool
Atriplex rosea L.		Amaranthaceae	A	<1830	1953	E AF AS-Te	X		X	Cas.	Wool,…
Atriplex sagittata Borkh.		Amaranthaceae	A	1853	1983	E AS-Te	X	X	X	Cas.	Wool,…
Atriplex semibaccata R. Brown		Amaranthaceae	A	1947	1947	AUS			X	Cas.	Wool
Atriplex sibirica L.		Amaranthaceae	A	1967	1967	AS-Te		X		Cas.	?
Atriplex suberecta Verdoorn		Amaranthaceae	A	1903	1954	AUS			X	Cas.	Wool
Atriplex tatarica L.		Amaranthaceae	A	<1835	1999	E AS-Te	X	X	X	Cas.	Grain, wool,…
Axyris amaranthoides L.		Amaranthaceae	A	1918	2005	AS-Te	X	X	X	Cas.	Grain,…
Bassia hyssopifolia (Pallas) O. Kuntze		Amaranthaceae	A	<1861	1967	E AS-Te	X		X	Cas.	Wool,…
Bassia laniflora (S.G. Gmel.) A.J. Scott		Amaranthaceae	A	<1861	<1861	E AS-Te	X			Cas.	?
Bassia scoparia (L.) Voss s.l.		Amaranthaceae	A	<1835	N	E AS-Te	X	X	X	Nat.	Grain, wool,…
Beta macrocarpa Guss.		Amaranthaceae	A	1910	2015	E AF	X		X	Cas.	Grain, wool
Beta trigyna Waldst. et Kit.		Amaranthaceae	A	1859	1913	E AS-Te	X		X	Cas.	Grain,…
Beta vulgaris L. subsp. vulgaris		Amaranthaceae	D	1891	Ann.	?	X	X	X	Cas.	Agric.
Blitum capitatum L.	Chenopodium capitatum (L.) Ambr.	Amaranthaceae	D	<1850	1980	?	X	X	X	Cas.	Agric.
Blitum nuttallianum Schult.	Monolepis nuttalliana (Schult.) E. Greene	Amaranthaceae	A	<1900	1994	NAM AS-Te	X			Cas.	Grain,…
Blitum virgatum L.	Chenopodium foliosum Aschers.	Amaranthaceae	A	1858	N	E AF AS-Te	X	X	X	Nat.	Ore, wool,…
Chenopodiastrum simplex (Torr.) Fuentes & al.	Chenopodium simplex (Torr.) Rafin.	Amaranthaceae	A	1882	1970	NAM	X		X	Cas.	Grain?
Chenopodium album L. x hircinum		Amaranthaceae	A	1954	1954	Hybr.	X			Cas.	Hybridization
Chenopodium album L. x missouriense 		Amaranthaceae	A	?	?	Hybr.	?	?	?	Cas.	Hybridization
Chenopodium album L. x probstii 		Amaranthaceae	A	?	?	Hybr.	?	?	?	Cas.	Hybridization
Chenopodium auricomiforme J. Murr et Thell.		Amaranthaceae	A	1911	1911	AUS			X	Cas.	Wool
Chenopodium berlandieri Moq.		Amaranthaceae	A	1918	N	NAM	X	X		Nat.	Ore?
Chenopodium borbasioides A. Ludwig		Amaranthaceae	A	1947	1962	SAM			X	Cas.	Wool
Chenopodium bushianum Aell.		Amaranthaceae	A	1952	1952	NAM	X			Cas.	Grain?
Chenopodium giganteum D. Don		Amaranthaceae	A	1947	2005	AS-Tr  	X		X	Cas.	Grain, wool
Chenopodium hircinum Schrad.		Amaranthaceae	A	1874	1983	SAM	X	X	X	Cas.	Wool,…
Chenopodium missouriense Aell.		Amaranthaceae	A	2003	2003	NAM	X			Cas.	Grain
Chenopodium opulifolium Schrad. ex Koch et Ziz		Amaranthaceae	A	1857	2015	E AF AS-Te	X	X	X	Cas.	Wool, grain,…
Chenopodium pratericola Rydberg s.l.		Amaranthaceae	A	1893	1953	NAM	X	X	X	Cas.	Grain,…
Chenopodium probstii Aell.		Amaranthaceae	A	1954	2015	NAM	X	X	X	Cas.	Grain, wool,…
Chenopodium quinoa Willd.		Amaranthaceae	D	1991	1994	SAM	X		X	Cas.	Agric.
Chenopodium striatiforme J. Murr		Amaranthaceae	A	1862	1967	E	X		X	Cas.	?
Chenopodium suecicum J. Murr		Amaranthaceae	A	1971	1971	E AS-Te			X	Cas.	?
Chenopodium x pelgrimsianum Aell. (C. album L. x bushianum)		Amaranthaceae	H	1952	1952	Hybr.	X			Cas.	Hybridization
Chenopodium x preissmannii J. Murr (C. album L. x opulifolium)		Amaranthaceae	H	?	?	Hybr.	?	?	?	Cas.	Hybridization
Chenopodium x reynieri Ludwig et Aellen (C. album L. x giganteum)		Amaranthaceae	H	2015	2015	Hybr.	X			Cas.	Hybridization
Corispermum gmelinii Bunge		Amaranthaceae	A	2009	2009	AS-Te	X			Cas.	Grain
Corispermum pallasii Steven		Amaranthaceae	A	1917	N	AS-Te	X	X	X	Nat.	Ore
Dysphania ambrosioides (L.) Mosyakin et Clemants	Chenopodium ambrosioides L. s.l.	Amaranthaceae	A	<1850	N	SAM	X	X	X	Nat.	Wool, grain,…
Dysphania botrys (L.) Mosyakin et Clemants	Chenopodium botrys L.	Amaranthaceae	A	1829	2015	E AF AS-Te	X		X	Cas.	Ore, wool,…
Dysphania carinata (R. Brown) Mosyakin et Clemants	Chenopodium carinatum R. Brown	Amaranthaceae	A	1940	1995	AUS	X		X	Cas.	Wool
Dysphania cristata (F. Muell.) Mosyakin et Clemants	Chenopodium cristatum (F. Muell.) F. Muell.	Amaranthaceae	A	1899	1972	AUS			X	Cas.	Wool
Dysphania glomulifera (Nees) P.G. Wilson		Amaranthaceae	A	1904	1924	AUS			X	Cas.	Wool
Dysphania multifida (L.) Mosyakin et Clemants	Chenopodium multifidum L.	Amaranthaceae	A	1882	1948	SAM	X	X	X	Cas.	Wool,…
Dysphania pseudomultiflora (J. Murr) Verloove et Lambinon	Chenopodium pseudomultiflorum (J. Murr) Uotila	Amaranthaceae	A	1947	1947	AF			X	Cas.	Wool
Dysphania pumilio (R. Brown) Mosyakin et Clemants	Chenopodium pumilium R. Brown	Amaranthaceae	A	1887	N	AUS	X	X	X	Nat.	Grain, wool,…
Dysphania schraderiana (Schult.) Mosyakin et Clemants	Chenopodium schraderianum Schult.	Amaranthaceae	A	1886	2011	AF	X		X	Cas.	Wool,…
Einadia polygonoides (J. Murr) Wilson	Chenopodium polygonoides (J. Murr) Aell.	Amaranthaceae	A	1951	1951	AUS			X	Cas.	Wool
Oxybasis glauca (L.) Fuentes & al. var. salina (Standley) Verloove	Chenopodium glaucum L. var. salinum (Standley) B. Boivin	Amaranthaceae	A	2003	2015	NAM	X		X	Cas.	Grain,…
Oxybasis macrosperma (Hook. f.) Fuentes & al.	Chenopodium macrospermum Hook. f.	Amaranthaceae	A	1895	1904	SAM	X		X	Cas.	Wool,…
Polycnemum arvense L.		Amaranthaceae	A	<1835	1903	E AS-Te	X		X	Cas.	Wool,…
Ptilotus spicatus Benth.		Amaranthaceae	A	1947	1947	AUS			X	Cas.	Wool
Sclerolaena muricata (Moq.) Domin		Amaranthaceae	A	1907	1911	AUS			X	Cas.	Wool
Spinacia oleracea L.		Amaranthaceae	D	1872	2015	?	X	X	X	Cas.	Agric.
Spirobassia hirsuta (L.) Freitag et G. Kadereit	Bassia hirsuta (L.) Aschers.	Amaranthaceae	A	<1850	<1850	E AS-Te	X			Cas.	?
Allium carinatum L.		Amaryllidaceae	D?	1811	1957	E AS-Te			X	Ext.?	Hort.?
Allium christophii Trautv.		Amaryllidaceae	D	2011	2011	AS-Te	X			Cas.	Hort.
Allium fistulosum L.		Amaryllidaceae	D	<1850	<1850	AS-Te			X	Cas.	Hort.
Allium moly L.		Amaryllidaceae	D	1885	1885	E			X	Cas.	Hort.
Allium nigrum L.		Amaryllidaceae	D	2013	2013	E AF AS-Te	X			Cas.	Hort.
Allium paradoxum (Bieb.) G. Don var. paradoxum		Amaryllidaceae	D	1989	N	AS-Te	X	 	X	Nat.	Hort.
Allium porrum L.		Amaryllidaceae	D	1948	2015	?		X		Cas.	Agric.
Allium ramosum L. (s.l.)	Incl. A. tuberosum Rottler ex Spreng.	Amaryllidaceae	D	2010	2010	AS-Te	X			Cas.	Food refuse
Allium schoenoprasum L.		Amaryllidaceae	D	1836	N	E	X	X	X	Nat.	Agric.
Allium scorodoprasum L.		Amaryllidaceae	D	1925	N	E	X		X	Nat.	Hort.
Allium triquetrum L.		Amaryllidaceae	D	2013	N?	E AF	X			Nat.?	Hort.
Galanthus ikariae Baker		Amaryllidaceae	D	1984	1984	E AS-Te		X		Cas.?	Hort.
Galanthus nivalis L. var. nivalis		Amaryllidaceae	D	1811	N	E AS-Te	X	X	X	Nat.	Hort.
Galanthus nivalis L. var. scharlockii Caspary		Amaryllidaceae	D	1939	N?	?	X		X	Nat.?	Hort.
Galanthus x warei J. Allen (G. nivalis var. nivalis x nivalis var. scharlockii)		Amaryllidaceae	D	2003	2003	Hybr.			X	Cas.	Hort.
Galanthus woronowii Losinsk. 		Amaryllidaceae	D	2015	2015	AS-Te	X			Cas.	Hort.
Narcissus obvallaris Salisb.	N. pseudonarcissus L. subsp. obvallaris (Salisb.) A. Fern.	Amaryllidaceae	D	2014	N	E	X			Nat.	Hort.
Narcissus poeticus L.		Amaryllidaceae	D	1868	N	E	X		X	Nat.	Hort.
Narcissus pseudonarcissus L. subsp. major (Curt.) Baker		Amaryllidaceae	D	?	?	E	?	?	?	Nat.?	Hort.
Narcissus x incomparabilis Mill. (N. poeticus x pseudonarcissus)		Amaryllidaceae	D	?	?	Cult.	?	?	?	Cas.	Hort.
Tristagma uniflorum (Lindl.) Traub		Amaryllidaceae	D	2012	2015	SAM	X			Cas.	Hort.
Cotinus coggygria Scop.		Anacardiaceae	D	1957	2015	E	X		X	Cas.	Hort.
