taxonID	datasetName	scientificName	synonym	kingdom	phylum	class	order	family	genus	specificEpithet	subspecies	taxonGroup	vernacularNameEN	vernacularNameNL	vernacularNameFR	status	statusCertainty	BFIS	ISEIA	spatialDistribution	invasiveness	introductionPathway	introductionMode	habitat	origin	presenceBE	presenceFL	presenceWA	presenceBR	firstObservationYearBE	firstOservationYearFL	latestObservationYearBE	source	sourceID	riskAnalysis	publicationStatus	notes
	rinse				Angiospermae	Eudicotyledoneae			Abronia	fragrans														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Abutilon	theophrasti														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	baileyana														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	cultriformis														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	dealbata														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	decurrens														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	farnesiana														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	karroo														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	longifolia														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	mearnsii														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	melanoxylon														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	pycnantha														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	retinodes														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acacia	saligna														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acaena	anserinifolia														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acaena	anserinifolia x inermis														terrestrial		not confirmed											data based solely on DAISIE portal
	rinse				Angiospermae	Eudicotyledoneae			Acaena	inermis														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acaena	novae-zelandiae														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acaena	ovalifolia														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acalypha	indica														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Acalypha	virginica														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acanthospermum	hispidum														terrestrial		present											
	rinse				Angiospermae	Eudicotyledoneae			Acanthospermum	humile														terrestrial		not confirmed											
	rinse				Angiospermae	Eudicotyledoneae			Acanthus	mollis														terrestrial		present											
